Title,Ratings,Raters,Directors,Writers,Actors,Country,Language,Date,Budget,Openning Weekend,Gross USA,cumulative worldwide,Studios,Durations,Romance,Horror,Music,Fantasy,Mystery,Sci-Fi,Biography,Family,Drama,Sport,History,Thriller,Animation,Adventure,Crime,Musical,Western,War,Action,Comedy,Year,Month
Movie 43,4.3,99080.0,Elizabeth Banks,Rocky Russo,"['Emma Stone', 'Stephen Merchant', 'Richard Gere']",USA,English,2013-02-07,6000000.0,4805878.0,8840453.0,32443111.0,"['Relativity Media', 'Virgin Produced', 'GreeneStreet Films']",94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2013.0,2.0
Fracture,7.2,186155.0,Gregory Hoblit,Daniel Pyne,"['Anthony Hopkins', 'Ryan Gosling', 'David Strathairn']",USA,English,2007-08-02,40000000.0,11180000.0,39015018.0,92011561.0,"['New Line Cinema', 'Castle Rock Entertainment', 'Weinstock Productions']",113.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,8.0
Superman Returns,6.0,270042.0,Bryan Singer,Michael Dougherty,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",USA,English,2006-06-29,270000000.0,52535096.0,200081192.0,391081192.0,"['Warner Bros.', 'Legendary Entertainment', 'Peters Entertainment']",154.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2006.0,6.0
Siberia,4.3,12495.0,Matthew Ross,Scott B. Smith,"['Keanu Reeves', 'Boris Gulyarin', 'Ashley St. George']",USA,English,2019-04-03,40000000.0,14635269.5,53577751.0,636366.0,"['Buffalo Gal Pictures', 'Company Films', 'Summerstorm Entertainment']",104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2019.0,4.0
Collateral Beauty,6.8,90811.0,David Frankel,Allan Loeb,"['Will Smith', 'Edward Norton', 'Kate Winslet']",USA,English,2017-01-12,36000000.0,7102085.0,31016021.0,88528280.0,"['New Line Cinema', 'Village Roadshow Pictures', 'Anonymous Content']",97.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2017.0,1.0
Coraline,7.7,196171.0,Henry Selick,Henry Selick,"['Dakota Fanning', 'Teri Hatcher', 'John Hodgman']",USA,English,2009-08-06,60000000.0,16849640.0,75286229.0,124596837.0,"['Focus Features', 'Laika Entertainment', 'Pandemonium']",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2009.0,8.0
Godzilla,6.4,372888.0,Gareth Edwards,Ishirô Honda,"['Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Bryan Cranston']",USA,English,2014-05-15,160000000.0,93188384.0,200676069.0,524976069.0,"['Warner Bros.', 'Legendary Entertainment', 'Disruption Entertainment']",123.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,5.0
Christmas in the Heartland,5.8,1014.0,Harvey Lowry,Dave Matheny,"['Sierra McCormick', 'Brighton Sharbino', 'Bo Derek']",USA,English,2018-11-14,40000000.0,14635269.5,53577751.0,99666355.0,"['Ascension Media', 'BCF Film Group']",112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2018.0,11.0
Survive the Night,4.8,6951.0,Matt Eskandari,Doug Wolfe,"['Bruce Willis', 'Chad Michael Murray', 'Shea Buckner']",USA,English,2020-05-22,40000000.0,14635269.5,53577751.0,199659.0,"['Emmett/Furla/Oasis Films (EFO Films)', 'SSS Entertainment', 'SSS Film Capital']",90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2020.0,5.0
Valkyrie,7.1,227355.0,Bryan Singer,Christopher McQuarrie,"['Tom Cruise', 'Bill Nighy', 'Carice van Houten']",USA,English,2009-01-22,75000000.0,21027007.0,83077833.0,201545517.0,"['Metro-Goldwyn-Mayer (MGM)', 'United Artists', 'Bad Hat Harry Productions']",121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2009.0,1.0
The Pacifier,5.6,87385.0,Adam Shankman,Thomas Lennon,"['Vin Diesel', 'Brittany Snow', 'Max Thieriot']",Canada,English,2005-03-24,56000000.0,30552694.0,113086868.0,198636868.0,"['Walt Disney Pictures', 'Spyglass Entertainment']",95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2005.0,3.0
The Sleepover,5.6,7117.0,Trish Sie,Sarah Rothschild,"['Sadie Stanley', 'Maxwell Simkins', 'Cree Cicchino']",USA,English,2020-08-21,40000000.0,14635269.5,53577751.0,99666355.0,['LD Entertainment'],100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2020.0,8.0
The Queen,7.3,103749.0,Stephen Frears,Peter Morgan,"['Helen Mirren', 'Michael Sheen', 'James Cromwell']",UK,English,2006-09-15,40000000.0,122014.0,56441711.0,123384128.0,"['Pathé Pictures International', 'Pathé', 'Granada Film Productions']",103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2006.0,9.0
Ghost Rider,5.2,222387.0,Mark Steven Johnson,Mark Steven Johnson,"['Nicolas Cage', 'Eva Mendes', 'Sam Elliott']",USA,English,2007-02-15,110000000.0,45388836.0,115802596.0,228738393.0,"['Columbia Pictures', 'Crystal Sky Pictures', 'Relativity Media']",110.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2007.0,2.0
Kill Bill: Vol. 2,8.0,678643.0,Quentin Tarantino,Quentin Tarantino,"['Uma Thurman', 'David Carradine', 'Michael Madsen']",USA,English,2004-04-22,30000000.0,25600000.0,66208183.0,154117352.0,"['Miramax', 'A Band Apart', 'Super Cool ManChu']",137.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2004.0,4.0
Dawn of the Dead,7.3,233082.0,Zack Snyder,George A. Romero,"['Sarah Polley', 'Ving Rhames', 'Mekhi Phifer']",USA,English,2004-06-10,26000000.0,26722575.0,59020957.0,102278712.0,"['Strike Entertainment', 'New Amsterdam Entertainment', 'Metropolitan Filmexport']",101.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,6.0
Force of Nature,4.5,5681.0,Michael Polish,Cory M. Miller,"['Emile Hirsch', 'Mel Gibson', 'David Zayas']",USA,English,2020-08-13,23000000.0,14635269.5,53577751.0,638221.0,"['Emmett/Furla/Oasis Films (EFO Films)', 'FON Film Production', 'Force of Nature Film']",91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2020.0,8.0
Wild,7.1,119641.0,Jean-Marc Vallée,Nick Hornby,"['Reese Witherspoon', 'Laura Dern', 'Gaby Hoffmann']",USA,English,2015-01-22,15000000.0,606810.0,37880356.0,52501541.0,"['Bob Industries', 'Fox Searchlight Pictures', 'Pacific Standard']",115.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2015.0,1.0
Salt,6.4,293939.0,Phillip Noyce,Kurt Wimmer,"['Angelina Jolie', 'Liev Schreiber', 'Chiwetel Ejiofor']",USA,English,2010-08-19,110000000.0,36011243.0,118311368.0,293503354.0,"['Columbia Pictures', 'Relativity Media', 'Di Bonaventura Pictures']",100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2010.0,8.0
Get Santa,6.3,3331.0,Christopher Smith,Christopher Smith,"['Jim Broadbent', 'Rafe Spall', 'Kit Connor']",UK,English,2014-12-05,40000000.0,14635269.5,53577751.0,4798222.0,"['Film i Väst', 'Scott Free Productions']",102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2014.0,12.0
